task,dataset,seq_id,category,n_frames,n_boxes,purity,frac_small_area,frac_small_side,cats_in_seq,frac_small_per_cat,sqrt_area_max,sqrt_area_median,sqrt_area_min,sqrt_area_p05,sqrt_area_p95
SOT,ootb,ootb/car_32,car,200,200,pure_small,1.0,1.0,,,11.12,11.12,11.12,11.12,11.12
SOT,ootb,ootb/car_33,car,200,200,pure_small,1.0,1.0,,,12.24,10.47,9.41,9.41,12.24
SOT,ootb,ootb/car_34,car,200,200,pure_small,1.0,1.0,,,12.32,12.32,12.32,12.32,12.32
SOT,ootb,ootb/car_35,car,200,200,pure_small,1.0,1.0,,,12.0,11.21,10.23,10.29,11.9
SOT,ootb,ootb/car_36,car,200,200,pure_small,1.0,1.0,,,8.72,8.72,8.72,8.72,8.72
SOT,ootb,ootb/car_37,car,173,173,pure_small,1.0,1.0,,,9.25,9.25,9.25,9.25,9.25
SOT,ootb,ootb/car_38,car,250,250,pure_small,1.0,1.0,,,8.26,7.84,7.84,7.84,7.84
SOT,ootb,ootb/car_39,car,171,171,pure_small,1.0,1.0,,,8.55,8.55,8.55,8.55,8.55
SOT,ootb,ootb/car_4,car,166,166,pure_small,1.0,1.0,,,13.43,12.44,9.17,9.68,13.42
SOT,ootb,ootb/car_40,car,171,171,pure_small,1.0,1.0,,,7.48,7.48,7.48,7.48,7.48
SOT,ootb,ootb/car_41,car,250,250,pure_small,1.0,1.0,,,10.82,10.82,10.82,10.82,10.82
SOT,ootb,ootb/car_42,car,250,250,pure_small,1.0,1.0,,,8.55,8.55,8.55,8.55,8.55
SOT,ootb,ootb/car_43,car,200,200,pure_small,1.0,1.0,,,9.43,8.97,8.47,8.97,9.37
SOT,ootb,ootb/car_44,car,200,200,pure_small,1.0,1.0,,,9.07,8.65,8.65,8.65,9.07
SOT,ootb,ootb/car_45,car,170,170,pure_small,1.0,1.0,,,11.53,11.24,10.79,10.79,11.53
SOT,ootb,ootb/car_5,car,164,164,pure_small,1.0,1.0,,,14.85,14.18,10.39,10.66,14.72
SOT,ootb,ootb/car_6,car,300,300,pure_small,1.0,1.0,,,20.58,19.81,19.25,19.48,20.31
SOT,ootb,ootb/car_7,car,300,300,pure_small,1.0,1.0,,,14.85,12.17,9.91,10.13,14.65
SOT,ootb,ootb/car_8,car,300,300,pure_small,1.0,1.0,,,11.74,10.83,10.58,10.58,11.29
SOT,ootb,ootb/car_9,car,147,147,pure_small,1.0,1.0,,,15.56,15.25,10.25,11.02,15.55
SOT,ootb,ootb/plane_1,plane,750,750,pure_large,0.0,0.0,,,48.08,45.62,33.49,34.89,47.69
SOT,ootb,ootb/plane_10,plane,500,500,pure_large,0.0,0.0,,,80.86,80.86,79.92,79.92,80.86
SOT,ootb,ootb/plane_11,plane,200,200,pure_large,0.0,0.0,,,59.39,58.81,58.65,58.65,59.39
SOT,ootb,ootb/plane_12,plane,200,200,pure_large,0.0,0.0,,,65.05,62.94,45.83,48.53,64.99
SOT,ootb,ootb/plane_13,plane,750,750,pure_large,0.0,0.0,,,52.47,52.47,52.2,52.2,52.47
SOT,ootb,ootb/plane_14,plane,320,320,pure_large,0.0,0.0,,,48.27,48.27,47.36,47.83,48.27
SOT,ootb,ootb/plane_15,plane,260,260,pure_large,0.0,0.0,,,50.57,50.37,49.95,49.95,50.57
SOT,ootb,ootb/plane_16,plane,90,90,pure_large,0.0,0.0,,,52.24,51.96,51.96,51.96,52.24
SOT,ootb,ootb/plane_17,plane,280,280,pure_large,0.0,0.0,,,44.47,44.47,44.47,44.47,44.47
SOT,ootb,ootb/plane_18,plane,200,200,pure_large,0.0,0.0,,,55.31,55.31,53.6,54.61,55.31
SOT,ootb,ootb/plane_19,plane,250,250,pure_large,0.0,0.0,,,59.45,59.45,59.45,59.45,59.45
SOT,ootb,ootb/plane_2,plane,296,296,pure_large,0.0,0.0,,,68.58,60.27,48.78,52.84,68.05
SOT,ootb,ootb/plane_20,plane,200,200,pure_large,0.0,0.0,,,58.8,58.8,58.8,58.8,58.8
SOT,ootb,ootb/plane_21,plane,125,125,pure_large,0.0,0.0,,,116.88,115.49,112.38,113.98,116.88
SOT,ootb,ootb/plane_22,plane,320,320,pure_large,0.0,0.0,,,50.19,42.38,35.82,37.87,50.06
SOT,ootb,ootb/plane_23,plane,200,200,pure_large,0.0,0.0,,,76.26,75.12,72.13,72.75,75.12
SOT,ootb,ootb/plane_24,plane,200,200,pure_large,0.0,0.0,,,55.66,55.49,55.28,55.36,55.56
SOT,ootb,ootb/plane_25,plane,200,200,pure_large,0.0,0.0,,,32.35,32.35,32.35,32.35,32.35
SOT,ootb,ootb/plane_3,plane,500,500,pure_large,0.0,0.0,,,38.38,37.46,35.52,36.83,38.38
SOT,ootb,ootb/plane_4,plane,750,750,pure_small,1.0,1.0,,,30.27,28.32,27.0,27.0,28.57
SOT,ootb,ootb/plane_5,plane,325,325,pure_large,0.0,0.0,,,38.48,36.89,36.89,36.89,36.89
SOT,ootb,ootb/plane_6,plane,358,358,pure_large,0.0,0.0,,,62.93,62.07,44.88,47.1,62.91
SOT,ootb,ootb/plane_7,plane,180,180,pure_large,0.0,0.0,,,38.96,37.6,36.09,37.11,38.96
SOT,ootb,ootb/plane_8,plane,300,300,pure_large,0.0,0.0,,,38.16,38.16,37.29,37.29,38.16
SOT,ootb,ootb/plane_9,plane,250,250,pure_large,0.0,0.0,,,84.46,78.07,66.22,66.22,84.46
SOT,ootb,ootb/ship_1,ship,320,320,pure_small,1.0,1.0,,,23.33,22.32,15.94,16.68,23.32
SOT,ootb,ootb/ship_10,ship,300,300,mixed,0.3467,0.0,,,32.79,32.23,31.66,31.66,32.7
SOT,ootb,ootb/ship_11,ship,300,300,pure_small,1.0,1.0,,,19.41,18.79,18.37,18.58,19.41
SOT,ootb,ootb/ship_12,ship,300,300,pure_small,1.0,1.0,,,18.74,18.59,18.24,18.24,18.74
SOT,ootb,ootb/ship_13,ship,300,300,pure_small,1.0,0.0,,,26.68,25.89,25.07,25.89,26.68
SOT,ootb,ootb/ship_14,ship,320,320,pure_small,1.0,1.0,,,12.16,12.16,12.15,12.15,12.16
SOT,ootb,ootb/ship_15,ship,320,320,pure_small,1.0,1.0,,,16.97,14.79,13.68,13.68,16.73
SOT,ootb,ootb/ship_16,ship,320,320,pure_small,1.0,1.0,,,12.48,12.48,12.48,12.48,12.48
SOT,ootb,ootb/ship_17,ship,320,320,pure_small,1.0,1.0,,,13.13,12.95,11.66,11.66,13.04
SOT,ootb,ootb/ship_18,ship,200,200,pure_small,1.0,1.0,,,10.65,10.29,9.94,9.98,10.65
SOT,ootb,ootb/ship_19,ship,200,200,pure_small,1.0,1.0,,,7.29,6.99,6.61,6.69,7.14
SOT,ootb,ootb/ship_2,ship,300,300,pure_small,1.0,1.0,,,21.37,19.78,18.6,19.2,20.69
SOT,ootb,ootb/ship_20,ship,200,200,pure_small,1.0,1.0,,,18.94,18.86,17.89,18.0,18.94
SOT,ootb,ootb/ship_21,ship,200,200,pure_small,1.0,1.0,,,15.05,14.92,14.11,14.11,15.05
SOT,ootb,ootb/ship_22,ship,200,200,pure_small,1.0,1.0,,,14.27,13.46,11.4,11.64,14.27
SOT,ootb,ootb/ship_23,ship,200,200,pure_small,1.0,1.0,,,13.67,11.5,10.95,10.95,13.52
SOT,ootb,ootb/ship_24,ship,200,200,pure_small,1.0,1.0,,,13.43,13.39,12.32,12.81,13.43
SOT,ootb,ootb/ship_25,ship,200,200,pure_small,1.0,1.0,,,11.27,11.25,11.22,11.22,11.26
SOT,ootb,ootb/ship_26,ship,200,200,pure_small,1.0,1.0,,,10.08,9.86,9.74,9.74,9.86
SOT,ootb,ootb/ship_27,ship,200,200,pure_small,1.0,1.0,,,9.64,9.64,8.82,9.29,9.64
SOT,ootb,ootb/ship_28,ship,150,150,pure_small,1.0,0.0,,,29.65,25.44,20.49,20.86,29.44
SOT,ootb,ootb/ship_29,ship,200,200,pure_small,1.0,1.0,,,9.82,9.5,8.83,8.95,9.71
SOT,ootb,ootb/ship_3,ship,300,300,pure_large,0.0,0.0,,,43.13,42.95,42.27,42.52,43.13
SOT,ootb,ootb/ship_30,ship,200,200,pure_small,1.0,1.0,,,6.92,6.46,5.76,5.82,6.87
SOT,ootb,ootb/ship_4,ship,500,500,pure_small,1.0,1.0,,,16.97,16.96,16.66,16.81,16.97
SOT,ootb,ootb/ship_5,ship,326,326,pure_small,1.0,1.0,,,22.33,21.87,20.41,20.91,22.33
SOT,ootb,ootb/ship_6,ship,320,320,pure_small,1.0,0.0,,,26.55,25.42,25.03,25.42,26.18
SOT,ootb,ootb/ship_7,ship,300,300,pure_small,1.0,1.0,,,29.12,29.12,29.12,29.12,29.12
SOT,ootb,ootb/ship_8,ship,300,300,pure_small,1.0,0.0,,,29.65,29.38,29.38,29.38,29.65
SOT,ootb,ootb/ship_9,ship,327,327,pure_small,1.0,1.0,,,21.44,20.73,19.37,19.98,21.44
SOT,ootb,ootb/train_1,train,405,405,pure_large,0.0,0.0,,,60.56,49.52,46.9,46.9,58.94
SOT,ootb,ootb/train_10,train,120,120,pure_large,0.0,0.0,,,65.34,52.54,43.47,45.91,65.34
SOT,ootb,ootb/train_2,train,200,200,pure_large,0.0,0.0,,,96.93,83.19,82.09,82.09,94.62
SOT,ootb,ootb/train_3,train,120,120,pure_large,0.0,0.0,,,123.46,122.62,119.97,120.88,123.46
SOT,ootb,ootb/train_4,train,120,120,pure_large,0.0,0.0,,,41.73,39.74,33.07,33.07,39.85
SOT,ootb,ootb/train_5,train,120,120,pure_large,0.0,0.0,,,42.9,42.9,40.44,40.44,42.9
SOT,ootb,ootb/train_6,train,250,250,pure_large,0.0,0.0,,,46.16,40.58,38.48,38.48,45.9
SOT,ootb,ootb/train_7,train,120,120,pure_large,0.0,0.0,,,96.98,96.98,93.83,95.43,96.98
SOT,ootb,ootb/train_8,train,120,120,pure_large,0.0,0.0,,,61.12,50.06,40.97,43.42,61.12
SOT,ootb,ootb/train_9,train,120,120,pure_large,0.0,0.0,,,158.57,150.91,126.72,130.3,157.58
SOT,satsot,satsot/car_01,car,750,705,pure_small,1.0,1.0,,,13.0,8.77,4.47,6.71,10.95
SOT,satsot,satsot/car_02,car,200,200,pure_small,1.0,1.0,,,15.0,11.96,8.83,9.8,13.42
SOT,satsot,satsot/car_03,car,580,580,pure_small,1.0,1.0,,,15.49,11.49,8.49,10.0,13.49
SOT,satsot,satsot/car_04,car,295,295,pure_small,1.0,1.0,,,13.42,9.49,6.93,7.94,11.0
SOT,satsot,satsot/car_05,car,200,200,pure_small,1.0,1.0,,,12.0,9.49,5.0,6.0,11.49
SOT,satsot,satsot/car_06,car,313,313,pure_small,1.0,1.0,,,8.49,6.48,4.47,5.48,7.94
SOT,satsot,satsot/car_07,car,130,130,pure_small,1.0,1.0,,,8.49,6.0,4.0,4.66,8.0
SOT,satsot,satsot/car_08,car,220,220,pure_small,1.0,1.0,,,8.49,6.48,4.47,5.0,7.94
SOT,satsot,satsot/car_09,car,200,188,pure_small,1.0,1.0,,,10.0,7.48,5.48,6.11,8.98
SOT,satsot,satsot/car_10,car,200,200,pure_small,1.0,1.0,,,8.0,6.0,4.47,5.0,7.0
SOT,satsot,satsot/car_11,car,200,200,pure_small,1.0,1.0,,,18.57,13.42,10.68,11.53,16.74
SOT,satsot,satsot/car_12,car,295,277,pure_small,1.0,1.0,,,11.49,8.94,6.48,7.48,10.49
SOT,satsot,satsot/car_13,car,290,261,pure_small,1.0,1.0,,,7.48,4.47,3.0,3.0,5.92
SOT,satsot,satsot/car_14,car,200,200,pure_small,1.0,1.0,,,8.94,7.0,5.0,5.92,8.49
SOT,satsot,satsot/car_15,car,300,254,pure_small,1.0,1.0,,,13.0,10.39,6.93,8.94,11.83
SOT,satsot,satsot/car_16,car,220,220,pure_small,1.0,1.0,,,9.0,7.48,5.66,6.0,8.49
SOT,satsot,satsot/car_17,car,750,750,pure_small,1.0,1.0,,,11.49,8.49,5.29,7.35,10.2
SOT,satsot,satsot/car_18,car,300,300,pure_small,1.0,1.0,,,11.49,7.48,5.48,6.31,9.0
SOT,satsot,satsot/car_19,car,200,200,pure_small,1.0,1.0,,,13.0,9.95,6.93,8.94,11.4
SOT,satsot,satsot/car_20,car,320,320,pure_small,1.0,1.0,,,13.96,10.58,8.12,8.83,12.41
SOT,satsot,satsot/car_21,car,200,100,pure_small,1.0,1.0,,,18.49,15.97,6.63,11.57,17.89
SOT,satsot,satsot/car_22,car,500,500,pure_small,1.0,1.0,,,7.48,6.0,4.47,5.0,7.0
SOT,satsot,satsot/car_23,car,220,220,pure_small,1.0,1.0,,,17.49,14.49,9.49,11.49,16.43
SOT,satsot,satsot/car_24,car,220,199,pure_small,1.0,1.0,,,15.87,13.67,8.77,11.38,15.1
SOT,satsot,satsot/car_25,car,500,500,pure_small,1.0,1.0,,,12.41,9.95,7.48,8.49,11.0
SOT,satsot,satsot/car_26,car,313,313,pure_small,1.0,1.0,,,10.0,6.48,4.0,5.48,8.0
SOT,satsot,satsot/car_27,car,200,200,pure_small,1.0,1.0,,,8.49,6.48,4.9,5.48,7.94
SOT,satsot,satsot/car_28,car,326,326,pure_small,1.0,1.0,,,6.93,4.95,3.87,4.0,5.92
SOT,satsot,satsot/car_29,car,200,200,pure_small,1.0,1.0,,,9.0,7.0,5.0,6.0,8.49
SOT,satsot,satsot/car_30,car,180,180,pure_small,1.0,1.0,,,10.0,6.0,4.47,5.0,7.0
SOT,satsot,satsot/car_31,car,200,200,pure_small,1.0,0.995,,,20.78,13.75,10.2,11.22,16.52
SOT,satsot,satsot/car_32,car,300,300,pure_small,1.0,1.0,,,14.49,10.95,8.37,9.8,12.41
SOT,satsot,satsot/car_33,car,200,200,pure_small,1.0,1.0,,,13.42,10.58,5.92,8.83,11.83
SOT,satsot,satsot/car_34,car,310,293,pure_small,1.0,1.0,,,8.0,5.66,3.87,4.58,6.93
SOT,satsot,satsot/car_35,car,320,320,pure_small,1.0,1.0,,,12.49,6.0,3.46,4.9,7.48
SOT,satsot,satsot/car_36,car,300,300,pure_small,1.0,1.0,,,13.27,10.95,8.49,9.54,12.25
SOT,satsot,satsot/car_37,car,200,200,pure_small,1.0,1.0,,,16.52,12.23,9.8,10.95,15.87
SOT,satsot,satsot/car_38,car,310,310,pure_small,1.0,1.0,,,7.48,5.92,4.24,4.9,7.0
SOT,satsot,satsot/car_39,car,312,312,pure_small,1.0,1.0,,,21.91,15.3,12.33,13.23,19.6
SOT,satsot,satsot/car_40,car,326,326,pure_small,1.0,1.0,,,8.0,5.92,4.47,5.0,7.0
SOT,satsot,satsot/car_41,car,300,300,pure_small,1.0,1.0,,,13.96,12.49,10.25,10.95,13.49
SOT,satsot,satsot/car_42,car,200,200,pure_small,1.0,1.0,,,18.49,13.75,13.08,13.08,16.97
SOT,satsot,satsot/car_43,car,290,290,pure_small,1.0,1.0,,,11.83,10.82,9.9,9.9,10.82
SOT,satsot,satsot/car_44,car,200,200,pure_small,1.0,1.0,,,15.43,15.43,15.43,15.43,15.43
SOT,satsot,satsot/car_45,car,320,320,pure_small,1.0,1.0,,,8.0,8.0,7.0,8.0,8.0
SOT,satsot,satsot/car_46,car,200,200,pure_small,1.0,1.0,,,16.31,12.73,10.95,11.31,15.43
SOT,satsot,satsot/car_47,car,300,300,pure_small,1.0,1.0,,,8.0,6.0,6.0,6.0,7.76
SOT,satsot,satsot/car_48,car,750,750,pure_small,1.0,1.0,,,13.49,11.83,11.83,11.83,13.49
SOT,satsot,satsot/car_49,car,358,358,pure_small,1.0,1.0,,,6.48,5.29,4.9,5.29,6.32
SOT,satsot,satsot/car_50,car,320,320,pure_small,1.0,1.0,,,13.86,12.49,10.58,10.95,13.42
SOT,satsot,satsot/car_51,car,320,320,pure_small,1.0,1.0,,,17.44,15.46,12.37,13.27,16.88
SOT,satsot,satsot/car_52,car,200,169,pure_small,1.0,1.0,,,11.66,11.66,11.66,11.66,11.66
SOT,satsot,satsot/car_53,car,200,200,pure_small,1.0,1.0,,,6.32,5.29,3.87,4.24,5.29
SOT,satsot,satsot/car_54,car,299,299,pure_small,1.0,1.0,,,9.49,8.0,6.71,6.93,8.49
SOT,satsot,satsot/car_55,car,320,320,pure_small,1.0,1.0,,,20.0,17.0,10.91,12.35,17.49
SOT,satsot,satsot/car_56,car,300,300,pure_small,1.0,1.0,,,6.0,5.0,4.47,4.47,5.48
SOT,satsot,satsot/car_57,car,200,200,pure_small,1.0,1.0,,,15.87,12.33,12.33,12.33,15.3
SOT,satsot,satsot/car_58,car,358,274,pure_small,1.0,1.0,,,6.48,5.29,4.58,4.9,6.48
SOT,satsot,satsot/car_59,car,200,200,pure_small,1.0,1.0,,,15.49,13.27,12.41,12.41,15.49
SOT,satsot,satsot/car_60,car,320,320,pure_small,1.0,1.0,,,16.49,13.0,11.4,11.62,14.49
SOT,satsot,satsot/car_61,car,476,440,pure_small,1.0,1.0,,,12.37,12.37,12.37,12.37,12.37
SOT,satsot,satsot/car_62,car,363,298,pure_small,1.0,1.0,,,15.72,15.72,15.72,15.72,15.72
SOT,satsot,satsot/car_63,car,686,686,pure_small,1.0,1.0,,,18.49,14.14,8.77,14.14,18.49
SOT,satsot,satsot/car_64,car,358,358,pure_small,1.0,1.0,,,8.0,7.07,6.0,6.0,8.0
SOT,satsot,satsot/car_65,car,310,255,pure_small,1.0,1.0,,,17.66,17.29,14.83,15.87,17.66
SOT,satsot,satsot/plane_01,plane,325,325,pure_small,1.0,0.0,,,30.3,29.29,29.29,29.29,29.85
SOT,satsot,satsot/plane_02,plane,358,358,pure_large,0.0,0.0,,,44.96,37.95,35.5,36.5,44.47
SOT,satsot,satsot/plane_03,plane,180,180,pure_small,1.0,0.9944,,,31.98,29.5,28.46,28.98,30.5
SOT,satsot,satsot/plane_04,plane,300,300,pure_large,0.0,0.0,,,40.42,40.42,37.95,38.42,40.42
SOT,satsot,satsot/plane_05,plane,300,300,pure_small,1.0,1.0,,,24.0,22.98,22.45,22.8,23.45
SOT,satsot,satsot/plane_06,plane,300,300,pure_small,1.0,1.0,,,19.49,18.97,17.49,18.49,19.49
SOT,satsot,satsot/plane_07,plane,250,250,pure_large,0.0,0.0,,,68.5,67.0,63.97,64.49,67.5
SOT,satsot,satsot/plane_08,plane,500,500,pure_large,0.0,0.0,,,61.45,58.33,55.12,55.12,61.45
SOT,satsot,satsot/plane_09,plane,200,200,pure_large,0.0,0.0,,,47.74,41.81,40.89,40.89,47.05
SOT,satsot,satsot/ship_01,ship,327,327,pure_small,1.0,1.0,,,21.49,14.42,8.37,10.12,18.44
SOT,satsot,satsot/ship_02,ship,326,282,pure_small,1.0,0.8475,,,23.96,18.33,14.42,16.12,21.9
SOT,satsot,satsot/ship_03,ship,320,320,pure_small,1.0,0.0,,,25.4,25.1,24.19,25.1,25.4
SOT,satsot,satsot/ship_04,ship,300,300,pure_small,1.0,1.0,,,22.63,22.63,22.63,22.63,22.63
SOT,satsot,satsot/ship_05,ship,320,320,pure_small,1.0,0.4406,,,23.07,22.45,18.76,19.6,22.76
SOT,satsot,satsot/train_01,train,120,120,pure_large,0.0,0.0,,,41.42,35.69,32.88,33.48,39.81
SOT,satsot,satsot/train_02,train,120,120,pure_large,0.0,0.0,,,267.29,167.06,142.89,147.18,263.78
SOT,satsot,satsot/train_03,train,120,120,pure_large,0.0,0.0,,,169.97,165.44,160.5,161.5,168.07
SOT,satsot,satsot/train_04,train,120,120,pure_large,0.0,0.0,,,88.05,78.34,69.89,72.55,86.1
SOT,satsot,satsot/train_05,train,120,120,pure_large,0.0,0.0,,,156.95,139.01,116.03,117.58,156.6
SOT,satsot,satsot/train_06,train,120,120,pure_large,0.0,0.0,,,892.51,884.38,822.2,874.17,888.99
SOT,satsot,satsot/train_07,train,120,120,pure_large,0.0,0.0,,,76.68,73.68,52.54,54.95,76.22
SOT,satsot,satsot/train_08,train,120,120,mixed,0.9417,0.0,,,34.5,27.66,23.96,25.61,32.85
SOT,satsot,satsot/train_09,train,120,120,pure_large,0.0,0.0,,,117.37,113.84,109.75,110.91,116.31
SOT,satsot,satsot/train_10,train,120,120,pure_large,0.0,0.0,,,104.62,98.52,93.91,96.12,102.48
SOT,satsot,satsot/train_11,train,120,120,pure_large,0.0,0.0,,,322.87,268.53,222.43,224.62,308.19
SOT,satsot,satsot/train_12,train,120,120,pure_large,0.0,0.0,,,62.26,59.59,41.26,46.12,61.6
SOT,satsot,satsot/train_13,train,120,120,pure_large,0.0,0.0,,,84.07,76.86,65.57,68.67,81.84
SOT,satsot,satsot/train_14,train,120,120,pure_large,0.0,0.0,,,45.18,39.24,34.99,35.36,43.27
SOT,satsot,satsot/train_15,train,120,120,pure_large,0.0,0.0,,,91.27,71.93,42.36,45.17,90.34
SOT,satsot,satsot/train_16,train,120,120,mixed,0.1417,0.0,,,55.64,39.53,27.98,29.66,53.27
SOT,satsot,satsot/train_17,train,120,120,pure_large,0.0,0.0,,,98.99,78.12,43.27,45.47,96.01
SOT,satsot,satsot/train_18,train,120,120,pure_large,0.0,0.0,,,103.05,77.73,42.14,48.13,100.74
SOT,satsot,satsot/train_19,train,120,120,pure_large,0.0,0.0,,,90.95,88.23,85.49,86.5,89.72
SOT,satsot,satsot/train_20,train,120,120,pure_large,0.0,0.0,,,45.52,39.59,32.62,35.98,43.07
SOT,satsot,satsot/train_21,train,120,120,mixed,0.025,0.0,,,39.04,35.5,31.5,33.27,38.73
SOT,satsot,satsot/train_22,train,120,120,pure_large,0.0,0.0,,,57.35,42.89,37.68,39.1,54.62
SOT,satsot,satsot/train_23,train,120,120,pure_large,0.0,0.0,,,65.25,58.79,55.62,56.53,63.39
SOT,satsot,satsot/train_24,train,250,250,pure_large,0.0,0.0,,,40.91,36.0,32.16,33.23,39.2
SOT,satsot,satsot/train_25,train,200,200,pure_large,0.0,0.0,,,89.33,77.31,75.49,75.49,87.72
SOT,satsot,satsot/train_26,train,200,200,mixed,0.01,0.0,,,79.6,34.27,30.63,32.5,75.05
SOT,sv248s,sv248s/01/000000,car-large,490,490,pure_small,1.0,1.0,,,8.18,8.18,7.63,7.87,8.18
SOT,sv248s,sv248s/01/000001,car,490,351,pure_small,1.0,1.0,,,4.3,4.3,4.29,4.3,4.3
SOT,sv248s,sv248s/01/000002,car,490,490,pure_small,1.0,1.0,,,5.4,5.18,4.8,5.01,5.4
SOT,sv248s,sv248s/01/000003,car-large,490,490,pure_small,1.0,1.0,,,10.27,10.07,6.3,6.76,10.27
SOT,sv248s,sv248s/01/000004,car,461,461,pure_small,1.0,1.0,,,4.89,4.7,4.2,4.32,4.88
SOT,sv248s,sv248s/01/000005,car,490,486,pure_small,1.0,1.0,,,5.05,5.05,4.24,4.25,5.05
SOT,sv248s,sv248s/01/000006,car,490,326,pure_small,1.0,1.0,,,4.3,4.3,4.06,4.17,4.3
SOT,sv248s,sv248s/01/000007,car,490,490,pure_small,1.0,1.0,,,4.45,4.22,3.73,3.93,4.45
SOT,sv248s,sv248s/01/000008,car,490,490,pure_small,1.0,1.0,,,4.28,4.27,3.59,3.64,4.27
SOT,sv248s,sv248s/01/000009,car,490,341,pure_small,1.0,1.0,,,4.43,4.43,3.51,3.85,4.43
SOT,sv248s,sv248s/01/000010,car,490,490,pure_small,1.0,1.0,,,4.95,4.9,4.65,4.65,4.9
SOT,sv248s,sv248s/01/000011,car,490,350,pure_small,1.0,1.0,,,4.79,4.09,3.79,3.8,4.75
SOT,sv248s,sv248s/01/000012,car-large,490,490,pure_small,1.0,1.0,,,14.51,14.16,13.98,13.98,14.51
SOT,sv248s,sv248s/01/000013,car,490,270,pure_small,1.0,1.0,,,4.84,4.84,4.84,4.84,4.84
SOT,sv248s,sv248s/01/000014,ship,490,490,pure_small,1.0,1.0,,,11.34,10.03,9.14,9.46,11.16
SOT,sv248s,sv248s/01/000015,car,490,438,pure_small,1.0,1.0,,,4.54,3.98,3.27,3.45,4.32
SOT,sv248s,sv248s/01/000016,car,490,490,pure_small,1.0,1.0,,,7.23,6.9,6.12,6.59,7.17
SOT,sv248s,sv248s/01/000017,car-large,490,490,pure_small,1.0,1.0,,,9.26,8.59,6.44,8.26,8.6
SOT,sv248s,sv248s/01/000018,car,490,294,pure_small,1.0,1.0,,,4.9,4.88,3.92,3.95,4.9
SOT,sv248s,sv248s/01/000019,car,490,490,pure_small,1.0,1.0,,,5.51,5.45,5.05,5.1,5.51
SOT,sv248s,sv248s/01/000020,car-large,490,490,pure_small,1.0,1.0,,,9.61,9.61,8.95,8.95,9.61
SOT,sv248s,sv248s/01/000021,car,490,490,pure_small,1.0,1.0,,,7.75,7.27,6.3,6.83,7.75
SOT,sv248s,sv248s/01/000022,car,490,490,pure_small,1.0,1.0,,,6.67,6.34,6.25,6.25,6.67
