seq_id,category,has_det_xml,det_tracks,tracks_added,tracks_added_airplane,tracks_added_ship,tracks_added_train,tracks_added_holey,tracks_skipped,boxes_before,boxes_added,boxes_added_with_sam3,boxes_hole_filled,boxes_regeometried,boxes_total
satmtb/airplane/28,airplane,True,32,26,26,0,0,0,6,1951,8294,8294,0,1951,10245
satmtb/airplane/29,airplane,True,10,9,9,0,0,0,1,319,2871,2871,0,319,3190
satmtb/airplane/30,airplane,True,19,17,17,0,0,0,2,510,5423,5423,0,510,5933
satmtb/airplane/31,mixed,True,25,23,23,0,0,0,2,17966,7337,7337,0,638,25303
satmtb/airplane/32,airplane,True,10,9,9,0,0,0,1,283,2547,2547,0,283,2830
satmtb/airplane/33,mixed,True,14,13,13,0,0,0,1,63231,3679,3679,0,283,66910
satmtb/airplane/34,airplane,True,22,19,19,0,0,0,3,764,5377,5377,0,764,6141
satmtb/airplane/35,mixed,True,23,22,22,0,0,0,1,39089,6226,6226,0,283,45315
satmtb/airplane/36,mixed,True,38,36,36,0,0,0,2,14801,11664,11664,0,648,26465
satmtb/airplane/37,mixed,True,28,25,25,0,0,0,3,5948,3500,3500,0,366,9448
satmtb/airplane/38,airplane,True,5,4,4,0,0,0,1,120,560,560,0,120,680
satmtb/airplane/39,airplane,True,21,20,20,0,0,0,1,67,1360,1360,0,67,1427
satmtb/airplane/40,mixed,True,17,15,15,0,0,0,2,15366,4875,4875,0,650,20241
satmtb/airplane/41,airplane,True,22,20,20,0,0,0,2,136,1360,1360,0,136,1496
satmtb/airplane/42,airplane,True,13,12,12,0,0,0,1,67,804,804,0,67,871
satmtb/airplane/43,mixed,True,16,13,13,0,0,0,3,1197,1833,1833,0,423,3030
satmtb/airplane/44,airplane,True,3,0,0,0,0,0,3,304,0,0,0,304,304
satmtb/airplane/45,airplane,True,17,13,13,0,0,0,4,490,1833,1833,0,490,2323
satmtb/airplane/46,airplane,True,30,25,25,0,0,0,5,655,3575,3575,0,655,4230
satmtb/airplane/47,mixed,True,5,4,4,0,0,0,1,786,180,180,0,45,966
satmtb/airplane/48,mixed,True,17,14,14,0,0,0,3,1766,1596,1596,0,342,3362
satmtb/airplane/49,airplane,True,4,3,3,0,0,0,1,171,420,420,0,171,591
satmtb/airplane/50,mixed,True,19,16,16,0,0,0,3,3515,2256,2256,0,441,5771
satmtb/airplane/51,airplane,True,5,3,3,0,0,0,2,106,159,159,0,106,265
satmtb/airplane/52,airplane,True,1,0,0,0,0,0,1,137,0,0,0,137,137
satmtb/airplane/53,airplane,True,26,20,20,0,0,0,6,1928,6520,5548,972,1928,8448
satmtb/airplane/54,airplane,True,17,14,14,0,0,0,3,559,4550,4550,0,559,5109
satmtb/airplane/55,airplane,True,24,22,22,0,0,0,2,369,7150,7150,0,369,7519
satmtb/airplane/56,airplane,True,2,0,0,0,0,0,2,465,0,0,0,465,465
satmtb/airplane/57,airplane,True,26,23,23,0,0,0,3,870,6670,6670,0,870,7540
satmtb/airplane/58,airplane,True,2,0,0,0,0,0,2,212,0,0,0,212,212
satmtb/airplane/59,airplane,True,4,3,3,0,0,0,1,144,432,432,0,144,576
satmtb/airplane/60,mixed,True,24,21,21,0,0,0,3,885,3003,3003,0,429,3888
satmtb/airplane/61,airplane,True,14,12,12,0,0,0,2,288,1728,1728,0,288,2016
satmtb/airplane/62,airplane,True,2,0,0,0,0,0,2,284,0,0,0,284,284
satmtb/airplane/63,airplane,True,29,24,24,0,0,0,5,2160,10368,10368,0,2160,12528
satmtb/car/01,car,False,0,0,0,0,0,0,0,1376,0,0,0,0,1376
satmtb/car/02,car,False,0,0,0,0,0,0,0,3868,0,0,0,0,3868
satmtb/car/03,mixed,False,0,0,0,0,0,0,0,2243,0,0,0,63,2243
satmtb/car/04,car,False,0,0,0,0,0,0,0,519,0,0,0,0,519
satmtb/car/05,mixed,False,0,0,0,0,0,0,0,499,0,0,0,30,499
satmtb/car/06,car,False,0,0,0,0,0,0,0,2588,0,0,0,0,2588
satmtb/car/07,car,False,0,0,0,0,0,0,0,1111,0,0,0,0,1111
satmtb/car/08,car,False,0,0,0,0,0,0,0,4071,0,0,0,0,4071
satmtb/car/09,car,False,0,0,0,0,0,0,0,3290,0,0,0,0,3290
satmtb/car/10,car,False,0,0,0,0,0,0,0,5419,0,0,0,0,5419
satmtb/car/11,car,False,0,0,0,0,0,0,0,3479,0,0,0,0,3479
satmtb/car/12,car,False,0,0,0,0,0,0,0,2641,0,0,0,0,2641
satmtb/car/15,car,False,0,0,0,0,0,0,0,4054,0,0,0,0,4054
satmtb/car/16,car,False,0,0,0,0,0,0,0,3955,0,0,0,0,3955
satmtb/car/17,car,False,0,0,0,0,0,0,0,1333,0,0,0,0,1333
satmtb/car/18,mixed,False,0,0,0,0,0,0,0,6153,0,0,0,450,6153
satmtb/car/19,car,False,0,0,0,0,0,0,0,1023,0,0,0,0,1023
satmtb/car/20,mixed,False,0,0,0,0,0,0,0,1218,0,0,0,21,1218
satmtb/car/21,car,False,0,0,0,0,0,0,0,1581,0,0,0,0,1581
satmtb/car/22,mixed,False,0,0,0,0,0,0,0,3414,0,0,0,100,3414
satmtb/car/23,car,False,0,0,0,0,0,0,0,6561,0,0,0,0,6561
satmtb/car/24,car,False,0,0,0,0,0,0,0,5080,0,0,0,0,5080
satmtb/car/25,mixed,False,0,0,0,0,0,0,0,1879,0,0,0,200,1879
satmtb/car/26,mixed,False,0,0,0,0,0,0,0,6226,0,0,0,170,6226
satmtb/car/27,mixed,False,0,0,0,0,0,0,0,1386,0,0,0,100,1386
satmtb/car/28,car,False,0,0,0,0,0,0,0,3446,0,0,0,0,3446
satmtb/car/29,car,False,0,0,0,0,0,0,0,1894,0,0,0,0,1894
satmtb/car/30,car,False,0,0,0,0,0,0,0,2293,0,0,0,0,2293
satmtb/car/31,mixed,False,0,0,0,0,0,0,0,9307,0,0,0,567,9307
satmtb/car/32,car,False,0,0,0,0,0,0,0,6681,0,0,0,0,6681
satmtb/car/33,car,False,0,0,0,0,0,0,0,4216,0,0,0,0,4216
satmtb/car/34,car,False,0,0,0,0,0,0,0,4289,0,0,0,0,4289
satmtb/car/35,car,False,0,0,0,0,0,0,0,3967,0,0,0,0,3967
satmtb/car/36,car,False,0,0,0,0,0,0,0,5156,0,0,0,0,5156
satmtb/car/37,car,False,0,0,0,0,0,0,0,1036,0,0,0,0,1036
satmtb/car/38,car,False,0,0,0,0,0,0,0,1552,0,0,0,0,1552
satmtb/car/39,car,False,0,0,0,0,0,0,0,2209,0,0,0,0,2209
satmtb/car/40,car,False,0,0,0,0,0,0,0,1875,0,0,0,0,1875
satmtb/car/41,car,False,0,0,0,0,0,0,0,3473,0,0,0,0,3473
satmtb/car/42,car,False,0,0,0,0,0,0,0,1405,0,0,0,0,1405
satmtb/car/43,car,False,0,0,0,0,0,0,0,1676,0,0,0,0,1676
satmtb/car/45,car,False,0,0,0,0,0,0,0,1309,0,0,0,0,1309
satmtb/car/46,car,False,0,0,0,0,0,0,0,3225,0,0,0,0,3225
satmtb/car/47,car,False,0,0,0,0,0,0,0,10973,0,0,0,0,10973
satmtb/car/48,car,False,0,0,0,0,0,0,0,4263,0,0,0,0,4263
satmtb/car/49,car,False,0,0,0,0,0,0,0,18309,0,0,0,0,18309
satmtb/car/50,car,False,0,0,0,0,0,0,0,15913,0,0,0,0,15913
satmtb/car/51,car,False,0,0,0,0,0,0,0,10419,0,0,0,0,10419
satmtb/car/52,car,False,0,0,0,0,0,0,0,13945,0,0,0,0,13945
satmtb/car/53,car,False,0,0,0,0,0,0,0,13096,0,0,0,0,13096
satmtb/car/54,car,False,0,0,0,0,0,0,0,4707,0,0,0,0,4707
satmtb/car/55,car,False,0,0,0,0,0,0,0,4581,0,0,0,0,4581
satmtb/car/56,car,False,0,0,0,0,0,0,0,4877,0,0,0,0,4877
satmtb/car/57,car,False,0,0,0,0,0,0,0,8727,0,0,0,0,8727
satmtb/car/58,car,False,0,0,0,0,0,0,0,2599,0,0,0,0,2599
satmtb/car/59,car,False,0,0,0,0,0,0,0,6443,0,0,0,0,6443
satmtb/car/60,car,False,0,0,0,0,0,0,0,6748,0,0,0,0,6748
satmtb/car/61,car,False,0,0,0,0,0,0,0,4739,0,0,0,0,4739
satmtb/car/62,car,False,0,0,0,0,0,0,0,6008,0,0,0,0,6008
satmtb/car/63,car,False,0,0,0,0,0,0,0,5665,0,0,0,0,5665
satmtb/car/64,car,False,0,0,0,0,0,0,0,6578,0,0,0,0,6578
satmtb/car/65,car,False,0,0,0,0,0,0,0,6221,0,0,0,0,6221
satmtb/car/66,car,False,0,0,0,0,0,0,0,6845,0,0,0,0,6845
satmtb/car/67,car,False,0,0,0,0,0,0,0,11484,0,0,0,0,11484
satmtb/car/68,car,False,0,0,0,0,0,0,0,5600,0,0,0,0,5600
satmtb/car/69,car,False,0,0,0,0,0,0,0,21329,0,0,0,0,21329
satmtb/car/70,car,False,0,0,0,0,0,0,0,20005,0,0,0,0,20005
satmtb/car/71,car,False,0,0,0,0,0,0,0,17116,0,0,0,0,17116
satmtb/car/72,car,False,0,0,0,0,0,0,0,17013,0,0,0,0,17013
satmtb/car/73,car,False,0,0,0,0,0,0,0,8469,0,0,0,0,8469
satmtb/car/74,car,False,0,0,0,0,0,0,0,14657,0,0,0,0,14657
satmtb/car/75,car,False,0,0,0,0,0,0,0,28037,0,0,0,0,28037
satmtb/car/76,car,False,0,0,0,0,0,0,0,12144,0,0,0,0,12144
satmtb/car/77,car,False,0,0,0,0,0,0,0,6247,0,0,0,0,6247
satmtb/car/78,car,False,0,0,0,0,0,0,0,9582,0,0,0,0,9582
satmtb/car/79,car,False,0,0,0,0,0,0,0,10561,0,0,0,0,10561
satmtb/car/80,car,False,0,0,0,0,0,0,0,9585,0,0,0,0,9585
satmtb/car/81,car,False,0,0,0,0,0,0,0,19071,0,0,0,0,19071
satmtb/car/82,car,False,0,0,0,0,0,0,0,10003,0,0,0,0,10003
satmtb/car/83,car,False,0,0,0,0,0,0,0,19967,0,0,0,0,19967
satmtb/car/84,car,False,0,0,0,0,0,0,0,10483,0,0,0,0,10483
satmtb/car/85,car,False,0,0,0,0,0,0,0,10076,0,0,0,0,10076
satmtb/car/86,car,False,0,0,0,0,0,0,0,9993,0,0,0,0,9993
satmtb/car/87,car,False,0,0,0,0,0,0,0,8605,0,0,0,0,8605
satmtb/car/88,car,False,0,0,0,0,0,0,0,7008,0,0,0,0,7008
satmtb/car/89,car,False,0,0,0,0,0,0,0,7743,0,0,0,0,7743
satmtb/car/90,car,False,0,0,0,0,0,0,0,12158,0,0,0,0,12158
satmtb/car/91,car,False,0,0,0,0,0,0,0,27550,0,0,0,0,27550
satmtb/car/92,car,False,0,0,0,0,0,0,0,23170,0,0,0,0,23170
satmtb/car/93,car,False,0,0,0,0,0,0,0,20448,0,0,0,0,20448
satmtb/car/94,car,False,0,0,0,0,0,0,0,12261,0,0,0,0,12261
satmtb/car/95,car,False,0,0,0,0,0,0,0,18555,0,0,0,0,18555
satmtb/ship/01,ship,True,1,0,0,0,0,0,1,187,0,0,0,187,187
satmtb/ship/02,ship,True,1,0,0,0,0,0,1,287,0,0,0,287,287
satmtb/ship/03,ship,True,1,0,0,0,0,0,1,287,0,0,0,287,287
satmtb/ship/04,ship,True,3,0,0,0,0,0,3,861,0,0,0,861,861
satmtb/ship/05,ship,True,6,3,0,3,0,0,3,861,861,861,0,861,1722
satmtb/ship/06,ship,True,2,0,0,0,0,0,2,574,0,0,0,574,574
satmtb/ship/07,ship,True,22,20,0,20,0,0,2,650,6500,6500,0,650,7150
satmtb/ship/08,ship,True,7,3,0,3,0,0,4,558,679,509,169,558,1237
satmtb/ship/09,ship,True,1,0,0,0,0,0,1,290,0,0,0,290,290
satmtb/ship/10,ship,True,5,4,0,4,0,0,1,313,1252,1252,0,313,1565
satmtb/ship/11,ship,True,1,0,0,0,0,0,1,187,0,0,0,187,187
satmtb/ship/12,mixed,True,2,0,0,0,0,0,2,945,0,0,0,374,945
satmtb/ship/13,ship,True,3,2,0,2,0,0,1,187,374,374,0,187,561
satmtb/ship/14,ship,True,4,1,0,1,0,0,3,1228,307,307,0,1228,1535
satmtb/ship/15,ship,True,2,0,0,0,0,0,2,614,0,0,0,614,614
satmtb/ship/16,ship,True,5,0,0,0,0,0,5,1560,0,0,0,1560,1560
satmtb/ship/17,ship,True,3,0,0,0,0,0,3,771,0,0,0,771,771
satmtb/ship/18,ship,True,1,0,0,0,0,0,1,56,0,0,0,56,56
satmtb/ship/19,ship,True,1,0,0,0,0,0,1,262,0,0,0,262,262
satmtb/ship/20,ship,True,4,3,0,3,0,0,1,139,417,417,0,139,556
satmtb/ship/21,ship,True,2,0,0,0,0,0,2,278,0,0,0,278,278
satmtb/ship/22,mixed,True,6,0,0,0,0,0,6,1708,0,0,0,755,1708
satmtb/ship/23,ship,True,2,0,0,0,0,0,2,276,0,0,0,276,276
satmtb/ship/24,ship,True,2,0,0,0,0,0,2,276,0,0,0,276,276
satmtb/ship/25,ship,True,10,0,0,0,0,0,10,770,0,0,0,770,770
satmtb/ship/26,ship,True,1,0,0,0,0,0,1,138,0,0,0,138,138
satmtb/ship/27,ship,True,2,0,0,0,0,0,2,626,0,0,0,626,626
satmtb/ship/28,ship,True,3,0,0,0,0,0,3,405,0,0,0,405,405
satmtb/ship/29,ship,True,2,0,0,0,0,0,2,590,0,0,0,590,590
satmtb/ship/30,ship,True,23,18,0,18,0,0,5,1419,5634,5634,0,1419,7053
satmtb/ship/31,ship,True,5,4,0,4,0,0,1,313,1252,1252,0,313,1565
satmtb/ship/32,ship,True,6,0,0,0,0,0,6,1878,0,0,0,1878,1878
satmtb/ship/33,ship,True,5,1,0,1,0,0,4,928,232,232,0,928,1160
satmtb/ship/34,mixed,True,5,3,0,3,0,0,2,3184,939,939,0,626,4123
satmtb/ship/35,ship,True,1,0,0,0,0,0,1,313,0,0,0,313,313
satmtb/ship/36,ship,True,4,0,0,0,0,0,4,1252,0,0,0,1252,1252
satmtb/ship/37,mixed,True,14,2,0,2,0,0,12,4662,606,606,0,3757,5268
satmtb/ship/38,ship,True,3,0,0,0,0,0,3,909,0,0,0,909,909
satmtb/ship/39,ship,True,18,18,0,18,0,0,0,1955,5454,5454,0,1955,7409
satmtb/ship/40,mixed,True,10,4,0,4,0,0,6,1202,948,948,0,1202,2150
satmtb/ship/41,ship,True,3,0,0,0,0,0,3,345,0,0,0,345,345
satmtb/ship/42,mixed,True,1,0,0,0,0,0,1,223,0,0,0,138,223
satmtb/ship/43,ship,True,2,0,0,0,0,0,2,276,0,0,0,276,276
satmtb/ship/44,ship,True,15,12,0,12,0,0,3,417,1668,1668,0,417,2085
satmtb/ship/45,ship,True,6,2,0,2,0,0,4,476,278,4,274,476,754
satmtb/ship/46,ship,True,1,0,0,0,0,0,1,139,0,0,0,139,139
satmtb/ship/47,ship,True,5,2,0,2,0,0,3,230,170,4,166,230,400
satmtb/ship/48,mixed,True,5,0,0,0,0,0,5,1091,0,0,0,665,1091
satmtb/ship/49,ship,True,8,1,0,1,0,0,7,2008,326,326,0,2008,2334
satmtb/ship/50,ship,True,3,0,0,0,0,0,3,978,0,0,0,978,978
satmtb/ship/51,ship,True,13,4,1,3,0,0,9,3260,1304,1304,0,3260,4564
satmtb/ship/52,ship,True,3,0,0,0,0,0,3,978,0,0,0,978,978
satmtb/ship/53,ship,True,10,4,0,4,0,0,6,1956,1304,1304,0,1956,3260
satmtb/ship/54,mixed,True,6,2,0,2,0,0,4,4480,652,4,648,1304,5132
satmtb/ship/55,ship,True,4,0,0,0,0,0,4,1304,0,0,0,1304,1304
satmtb/ship/56,ship,True,5,0,0,0,0,0,5,1630,0,0,0,1630,1630
satmtb/ship/57,ship,True,9,0,0,0,0,0,9,2784,0,0,0,2784,2784
satmtb/ship/58,ship,True,7,1,0,0,1,0,6,2264,326,326,0,2264,2590
satmtb/ship/59,mixed,True,7,0,0,0,0,0,7,1525,0,0,0,1525,1525
satmtb/ship/60,ship,True,4,0,0,0,0,0,4,572,0,0,0,572,572
satmtb/ship/61,ship,True,3,0,0,0,0,0,3,1296,0,0,0,1296,1296
satmtb/ship/62,ship,True,3,0,0,0,0,0,3,432,0,0,0,432,432
satmtb/ship/63,ship,True,5,0,0,0,0,0,5,720,0,0,0,720,720
satmtb/ship/64,ship,True,8,0,0,0,0,0,8,3217,0,0,0,3217,3217
satmtb/ship/65,ship,True,13,9,0,9,0,0,4,1636,3457,3457,0,1636,5093
satmtb/ship/66,ship,True,5,0,0,0,0,0,5,2058,0,0,0,2058,2058
satmtb/ship/67,mixed,True,10,0,0,0,0,0,10,4086,0,0,0,1440,4086
satmtb/ship/68,ship,True,3,0,0,0,0,0,3,404,0,0,0,404,404
satmtb/ship/69,ship,True,3,0,0,0,0,0,3,432,0,0,0,432,432
satmtb/ship/70,ship,True,12,0,0,0,0,0,12,3521,0,0,0,3521,3521
satmtb/train/01,train,True,4,1,0,0,1,0,3,591,197,2,195,591,788
satmtb/train/02,train,True,4,0,0,0,0,0,4,752,0,0,0,752,752
satmtb/train/03,train,True,1,0,0,0,0,0,1,634,0,0,0,634,634
satmtb/train/04,train,True,4,0,0,0,0,0,4,1089,0,0,0,1089,1089
satmtb/train/05,train,True,2,0,0,0,0,0,2,550,0,0,0,550,550
satmtb/train/06,train,True,3,0,0,0,0,0,3,804,0,0,0,804,804
satmtb/train/07,train,True,5,2,0,0,2,0,3,147,98,4,94,147,245
satmtb/train/11,mixed,False,0,0,0,0,0,0,0,560,0,0,0,200,560
satmtb/train/12,mixed,False,0,0,0,0,0,0,0,654,0,0,0,72,654
satmtb/train/13,mixed,False,0,0,0,0,0,0,0,1914,0,0,0,87,1914
satmtb/train/14,mixed,False,0,0,0,0,0,0,0,1192,0,0,0,97,1192
satmtb/train/15,mixed,False,0,0,0,0,0,0,0,4326,0,0,0,200,4326
satmtb/train/16,mixed,False,0,0,0,0,0,0,0,4895,0,0,0,360,4895
