seq_id,dataset,category,track_id,n_obs,median_sqrt_area,net_disp_px,path_len_px,net_disp_ratio,path_len_ratio,mean_step_px
airmot/8,airmot,airplane,1,143,32.4,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,2,143,27.46,16.4,22.41,0.597,0.816,0.158
airmot/8,airmot,airplane,3,143,26.46,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,4,143,29.98,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,5,143,29.85,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,6,33,28.93,22.36,25.75,0.773,0.89,0.805
airmot/8,airmot,airplane,7,143,31.46,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,8,143,27.98,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,9,143,29.29,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,10,143,35.87,64.01,65.0,1.784,1.812,0.458
airmot/8,airmot,airplane,11,143,26.46,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,12,143,24.49,0.0,0.0,0.0,0.0,0.0
airmot/8,airmot,airplane,13,143,26.46,0.0,6.0,0.0,0.227,0.042
airmot/8,airmot,airplane,14,143,29.73,0.0,0.0,0.0,0.0,0.0
airmot/11,airmot,airplane,1,143,21.91,0.0,0.0,0.0,0.0,0.0
airmot/11,airmot,airplane,2,143,31.02,5.0,9.24,0.161,0.298,0.065
airmot/11,airmot,airplane,3,143,31.3,0.0,0.0,0.0,0.0,0.0
airmot/11,airmot,airplane,4,143,24.49,0.0,0.0,0.0,0.0,0.0
airmot/11,airmot,airplane,5,143,50.48,0.0,0.0,0.0,0.0,0.0
airmot/12,airmot,ship,1,84,5.74,5.0,7.0,0.87,1.219,0.084
airmot/12,airmot,ship,2,325,10.95,19.56,23.41,1.785,2.137,0.072
airmot/12,airmot,ship,3,325,9.95,19.06,22.91,1.916,2.303,0.071
airmot/12,airmot,ship,4,325,8.77,20.02,24.41,2.282,2.782,0.075
airmot/12,airmot,ship,5,325,9.17,20.1,23.41,2.193,2.555,0.072
airmot/12,airmot,ship,6,325,10.58,20.0,23.41,1.89,2.212,0.072
airmot/12,airmot,ship,7,325,9.38,20.02,23.83,2.135,2.54,0.074
airmot/12,airmot,ship,8,325,9.8,20.0,23.41,2.041,2.39,0.072
airmot/12,airmot,ship,9,325,6.93,20.1,23.41,2.901,3.38,0.072
airmot/12,airmot,ship,10,325,8.77,18.06,21.91,2.058,2.497,0.068
airmot/12,airmot,ship,11,325,8.77,20.0,23.41,2.279,2.668,0.072
airmot/12,airmot,ship,12,325,8.37,21.38,25.83,2.555,3.087,0.08
airmot/12,airmot,ship,13,325,9.38,20.0,23.41,2.132,2.496,0.072
airmot/12,airmot,ship,14,325,9.8,20.0,23.41,2.041,2.39,0.072
airmot/12,airmot,ship,15,325,10.58,20.0,23.41,1.89,2.212,0.072
airmot/12,airmot,ship,16,325,12.49,21.0,23.83,1.681,1.908,0.074
airmot/12,airmot,ship,17,325,13.49,20.0,23.41,1.482,1.736,0.072
airmot/12,airmot,ship,18,325,10.39,21.02,25.41,2.023,2.445,0.078
airmot/12,airmot,ship,19,325,14.14,22.0,24.24,1.556,1.714,0.075
airmot/12,airmot,ship,20,325,12.0,21.1,24.41,1.758,2.035,0.075
airmot/12,airmot,ship,21,325,14.46,22.09,25.41,1.528,1.758,0.078
airmot/12,airmot,ship,22,325,7.42,21.02,25.41,2.835,3.427,0.078
airmot/12,airmot,ship,23,325,11.53,21.02,25.41,1.823,2.204,0.078
airmot/12,airmot,ship,24,325,10.39,20.0,23.41,1.925,2.253,0.072
airmot/12,airmot,ship,25,325,10.25,22.02,25.83,2.149,2.521,0.08
airmot/12,airmot,ship,26,325,8.49,22.0,24.83,2.593,2.926,0.077
airmot/12,airmot,ship,27,325,7.75,21.0,24.41,2.711,3.152,0.075
airmot/12,airmot,ship,28,325,7.42,21.0,24.41,2.832,3.292,0.075
airmot/12,airmot,ship,29,325,6.93,21.02,25.41,3.035,3.668,0.078
airmot/12,airmot,ship,30,325,7.75,20.0,23.41,2.582,3.023,0.072
airmot/12,airmot,ship,31,325,7.75,21.0,23.62,2.711,3.049,0.073
airmot/12,airmot,ship,32,325,6.71,21.0,23.62,3.13,3.521,0.073
airmot/12,airmot,ship,33,325,5.66,22.01,24.74,3.89,4.373,0.076
airmot/12,airmot,ship,34,325,3.87,21.0,24.41,5.422,6.304,0.075
airmot/12,airmot,ship,35,325,4.9,23.0,25.24,4.695,5.151,0.078
airmot/12,airmot,ship,36,325,6.71,23.0,25.83,3.429,3.85,0.08
airmot/12,airmot,ship,37,325,7.42,21.0,24.41,2.832,3.292,0.075
airmot/12,airmot,ship,38,325,7.42,22.0,24.83,2.966,3.348,0.077
airmot/12,airmot,ship,39,325,7.75,22.0,24.83,2.84,3.205,0.077
airmot/12,airmot,ship,40,325,7.75,21.0,24.41,2.711,3.152,0.075
airmot/12,airmot,ship,41,325,7.35,20.55,24.41,2.797,3.322,0.075
airmot/12,airmot,ship,42,325,8.83,22.0,24.83,2.491,2.811,0.077
airmot/12,airmot,ship,43,325,8.06,21.0,24.41,2.605,3.028,0.075
airmot/12,airmot,ship,44,325,8.37,21.0,24.41,2.51,2.918,0.075
airmot/12,airmot,ship,45,325,10.58,21.0,24.41,1.984,2.307,0.075
airmot/12,airmot,ship,46,325,8.12,21.1,24.41,2.597,3.005,0.075
airmot/12,airmot,ship,47,325,8.06,21.02,25.41,2.608,3.152,0.078
airmot/12,airmot,ship,48,325,7.75,21.0,24.41,2.711,3.152,0.075
airmot/12,airmot,ship,49,325,9.38,20.1,28.24,2.143,3.011,0.087
airmot/12,airmot,ship,50,64,7.48,2.0,3.0,0.267,0.401,0.048
airmot/12,airmot,ship,51,325,7.75,17.5,22.33,2.259,2.883,0.069
airmot/12,airmot,ship,52,325,7.35,20.0,25.41,2.722,3.458,0.078
airmot/12,airmot,ship,53,325,8.77,20.0,25.41,2.279,2.896,0.078
airmot/12,airmot,ship,54,325,7.35,20.1,28.83,2.735,3.923,0.089
airmot/12,airmot,ship,55,325,8.37,21.0,23.83,2.51,2.848,0.074
airmot/12,airmot,ship,56,325,6.48,20.0,23.41,3.086,3.613,0.072
airmot/12,airmot,ship,57,325,8.49,20.22,24.41,2.383,2.877,0.075
airmot/12,airmot,ship,58,325,7.75,20.0,23.41,2.582,3.023,0.072
airmot/12,airmot,ship,59,325,8.77,20.1,24.03,2.291,2.739,0.074
airmot/12,airmot,ship,60,325,8.49,20.0,26.45,2.357,3.117,0.082
airmot/12,airmot,ship,61,325,8.37,20.0,25.41,2.39,3.038,0.078
airmot/12,airmot,ship,62,325,9.95,20.1,24.24,2.02,2.436,0.075
airmot/12,airmot,ship,63,325,9.8,18.68,25.83,1.907,2.636,0.08
airmot/12,airmot,ship,64,325,6.93,18.0,21.41,2.598,3.091,0.066
airmot/12,airmot,ship,65,325,8.77,18.11,22.24,2.064,2.535,0.069
airmot/12,airmot,ship,66,325,6.93,21.01,25.91,3.032,3.74,0.08
airmot/12,airmot,ship,67,325,9.0,20.0,24.03,2.222,2.67,0.074
airmot/12,airmot,ship,68,325,9.38,20.0,28.24,2.132,3.011,0.087
airmot/12,airmot,ship,69,325,7.35,20.1,25.41,2.735,3.458,0.078
airmot/12,airmot,ship,70,325,8.77,18.11,21.41,2.064,2.44,0.066
airmot/12,airmot,ship,71,325,7.94,20.1,23.41,2.532,2.95,0.072
airmot/12,airmot,ship,72,325,8.49,20.0,25.41,2.357,2.995,0.078
airmot/12,airmot,ship,73,325,8.77,20.02,23.83,2.282,2.716,0.074
airmot/12,airmot,ship,74,325,8.77,20.22,26.41,2.305,3.01,0.082
airmot/12,airmot,ship,75,325,8.37,20.1,23.41,2.402,2.799,0.072
airmot/12,airmot,ship,76,325,7.35,20.0,23.41,2.722,3.186,0.072
airmot/12,airmot,ship,77,325,6.93,20.02,23.83,2.89,3.439,0.074
airmot/12,airmot,ship,78,325,8.37,20.0,23.41,2.39,2.799,0.072
airmot/12,airmot,ship,79,325,7.35,20.16,26.95,2.743,3.667,0.083
airmot/12,airmot,ship,80,325,7.35,20.0,23.41,2.722,3.186,0.072
airmot/12,airmot,ship,81,325,8.37,18.07,22.74,2.16,2.718,0.07
airmot/12,airmot,ship,82,325,7.94,18.93,22.33,2.385,2.813,0.069
airmot/12,airmot,ship,83,325,8.37,15.81,18.83,1.89,2.25,0.058
airmot/12,airmot,ship,84,325,7.75,20.0,23.41,2.582,3.023,0.072
airmot/12,airmot,ship,85,325,6.93,20.0,23.41,2.887,3.38,0.072
airmot/12,airmot,ship,86,325,7.35,19.65,26.95,2.674,3.667,0.083
airmot/12,airmot,ship,87,325,6.93,20.1,27.41,2.901,3.957,0.085
airmot/12,airmot,ship,88,325,9.17,20.0,23.41,2.182,2.555,0.072
airmot/12,airmot,ship,89,325,7.35,20.0,22.83,2.722,3.107,0.07
airmot/12,airmot,ship,90,325,7.94,20.22,24.41,2.548,3.076,0.075
airmot/12,airmot,ship,91,325,7.75,18.11,22.41,2.338,2.894,0.069
airmot/12,airmot,ship,92,325,6.71,20.0,26.83,2.981,3.999,0.083
airmot/12,airmot,ship,93,325,7.35,20.0,25.41,2.722,3.458,0.078
airmot/12,airmot,ship,94,325,7.35,21.1,25.74,2.871,3.503,0.079
airmot/12,airmot,ship,95,325,8.37,20.22,26.41,2.417,3.157,0.082
airmot/12,airmot,ship,96,325,6.48,18.0,20.24,2.777,3.124,0.062
airmot/12,airmot,ship,97,325,7.35,20.0,23.41,2.722,3.186,0.072
airmot/12,airmot,ship,98,325,7.35,20.0,24.83,2.722,3.379,0.077
airmot/12,airmot,ship,99,325,8.83,17.07,21.53,1.932,2.438,0.066
airmot/12,airmot,ship,100,325,7.35,21.02,28.83,2.861,3.923,0.089
airmot/12,airmot,ship,101,325,9.17,20.0,23.41,2.182,2.555,0.072
airmot/12,airmot,ship,102,325,7.48,19.03,23.41,2.542,3.129,0.072
airmot/12,airmot,ship,103,325,8.49,20.0,23.41,2.357,2.759,0.072
airmot/12,airmot,ship,104,325,6.48,20.0,25.41,3.086,3.921,0.078
airmot/12,airmot,ship,105,325,8.12,18.11,19.41,2.229,2.39,0.06
airmot/12,airmot,ship,106,325,6.93,21.15,24.91,3.052,3.596,0.077
airmot/12,airmot,ship,107,325,7.35,20.0,23.41,2.722,3.186,0.072
airmot/12,airmot,ship,108,325,6.32,22.09,26.83,3.493,4.242,0.083
airmot/12,airmot,ship,109,325,7.48,20.1,23.41,2.686,3.129,0.072
airmot/12,airmot,ship,110,325,6.48,20.65,26.41,3.187,4.076,0.082
airmot/12,airmot,ship,111,325,9.49,20.0,22.03,2.108,2.322,0.068
airmot/12,airmot,ship,112,325,9.0,20.0,22.83,2.222,2.536,0.07
airmot/12,airmot,ship,113,328,8.94,20.0,22.83,2.236,2.552,0.07
airmot/12,airmot,ship,114,54,7.35,1.5,2.5,0.204,0.34,0.047
airmot/12,airmot,ship,115,325,8.77,18.0,21.41,2.051,2.44,0.066
airmot/12,airmot,ship,116,325,8.37,20.0,23.41,2.39,2.799,0.072
airmot/12,airmot,ship,117,325,7.75,20.0,23.41,2.582,3.023,0.072
airmot/12,airmot,ship,118,325,7.75,22.0,24.83,2.84,3.205,0.077
airmot/12,airmot,ship,119,325,7.07,22.0,24.83,3.111,3.511,0.077
airmot/12,airmot,ship,120,325,9.9,21.02,29.41,2.124,2.971,0.091
airmot/12,airmot,ship,121,325,7.48,20.02,23.83,2.676,3.184,0.074
airmot/12,airmot,ship,122,325,10.2,22.0,28.83,2.157,2.827,0.089
airmot/12,airmot,ship,123,325,6.32,19.0,22.41,3.004,3.544,0.069
airmot/12,airmot,ship,124,325,11.83,20.0,30.24,1.69,2.556,0.093
airmot/12,airmot,ship,125,325,6.93,20.0,23.41,2.887,3.38,0.072
airmot/12,airmot,ship,126,325,7.35,20.0,23.41,2.722,3.186,0.072
airmot/12,airmot,ship,127,325,7.75,20.0,23.41,2.582,3.023,0.072
airmot/12,airmot,ship,128,325,13.42,19.1,23.24,1.424,1.732,0.072
airmot/12,airmot,ship,129,325,7.94,19.0,22.41,2.394,2.824,0.069
airmot/13,airmot,ship,1,325,7.48,18.03,21.83,2.409,2.917,0.067
airmot/13,airmot,ship,2,325,7.48,20.1,27.66,2.686,3.696,0.085
airmot/13,airmot,ship,3,325,5.92,21.0,25.83,3.55,4.366,0.08
airmot/13,airmot,ship,4,325,6.48,22.0,26.24,3.395,4.049,0.081
airmot/13,airmot,ship,5,325,49.11,20.0,24.83,0.407,0.506,0.077
airmot/13,airmot,ship,6,325,8.94,20.0,24.83,2.236,2.776,0.077
airmot/13,airmot,ship,7,325,12.85,254.42,299.77,19.807,23.337,0.925
airmot/13,airmot,ship,8,224,27.84,275.61,301.05,9.9,10.814,1.35
airmot/13,airmot,ship,9,80,28.28,34.67,46.21,1.226,1.634,0.585
airmot/14,airmot,ship,1,185,7.94,17.12,18.66,2.157,2.351,0.101
airmot/14,airmot,ship,2,16,6.0,0.0,0.0,0.0,0.0,0.0
airmot/14,airmot,ship,3,325,9.17,106.28,130.04,11.596,14.189,0.401
airmot/14,airmot,ship,4,325,8.49,21.0,27.24,2.475,3.211,0.084
airmot/15,airmot,ship,1,302,7.0,24.0,35.03,3.429,5.005,0.116
airmot/15,airmot,ship,2,302,7.35,24.0,34.89,3.266,4.748,0.116
airmot/15,airmot,ship,3,299,7.0,26.0,44.69,3.714,6.384,0.15
airmot/15,airmot,ship,4,298,9.9,22.5,47.39,2.273,4.788,0.16
airmot/15,airmot,ship,5,297,8.77,22.55,50.88,2.57,5.798,0.172
airmot/15,airmot,ship,6,295,7.0,22.52,54.71,3.217,7.816,0.186
airmot/15,airmot,ship,7,294,7.48,22.59,50.12,3.019,6.697,0.171
airmot/15,airmot,ship,8,269,7.75,20.06,35.12,2.589,4.534,0.131
airmot/15,airmot,ship,9,291,10.2,21.52,45.43,2.111,4.455,0.157
airmot/15,airmot,ship,10,291,7.48,22.52,37.91,3.01,5.065,0.131
airmot/15,airmot,ship,11,288,7.75,20.51,37.53,2.647,4.845,0.131
airmot/15,airmot,ship,12,287,8.94,22.01,29.18,2.46,3.263,0.102
airmot/15,airmot,ship,13,211,8.49,15.03,41.79,1.772,4.925,0.199
airmot/16,airmot,ship,1,325,9.38,126.09,159.46,13.441,16.998,0.492
airmot/16,airmot,ship,2,325,49.32,272.41,313.38,5.524,6.355,0.967
airmot/16,airmot,ship,3,325,9.17,95.21,115.38,10.388,12.59,0.356
airmot/16,airmot,ship,4,302,7.35,25.08,37.49,3.413,5.101,0.125
airmot/16,airmot,ship,5,302,7.94,23.5,34.74,2.961,4.377,0.115
airmot/16,airmot,ship,6,300,11.4,19.06,58.59,1.672,5.138,0.196
airmot/16,airmot,ship,7,300,7.94,24.08,50.49,3.034,6.361,0.169
airmot/16,airmot,ship,8,300,6.93,24.0,33.72,3.464,4.867,0.113
airmot/16,airmot,ship,9,300,8.12,26.0,37.39,3.2,4.603,0.125
airmot/16,airmot,ship,10,299,7.35,26.0,36.49,3.538,4.965,0.122
airmot/16,airmot,ship,11,299,7.94,26.0,49.94,3.276,6.292,0.168
airmot/16,airmot,ship,12,298,6.0,25.02,44.54,4.17,7.424,0.15
airmot/16,airmot,ship,13,298,7.35,21.02,45.97,2.861,6.255,0.155
airmot/16,airmot,ship,14,297,8.49,20.5,45.11,2.416,5.317,0.152
airmot/16,airmot,ship,15,297,6.93,23.02,53.14,3.323,7.669,0.18
airmot/16,airmot,ship,16,296,8.77,25.02,40.13,2.851,4.573,0.136
airmot/16,airmot,ship,17,294,7.48,25.02,101.29,3.343,13.535,0.346
airmot/16,airmot,ship,18,294,6.93,15.0,49.58,2.165,7.157,0.169
airmot/16,airmot,ship,19,294,6.93,23.0,37.89,3.32,5.469,0.129
airmot/16,airmot,ship,20,293,7.48,25.04,43.34,3.347,5.792,0.148
airmot/16,airmot,ship,21,27,6.93,2.0,8.0,0.289,1.155,0.308
airmot/16,airmot,ship,22,292,7.35,22.09,42.37,3.006,5.766,0.146
airmot/16,airmot,ship,23,291,7.94,22.05,51.05,2.778,6.432,0.176
airmot/16,airmot,ship,24,290,7.94,23.01,49.3,2.898,6.212,0.171
airmot/16,airmot,ship,25,287,8.37,18.44,40.43,2.204,4.832,0.141
airmot/16,airmot,ship,26,268,9.38,16.07,29.86,1.713,3.184,0.112
airmot/16,airmot,ship,27,249,9.0,15.13,31.39,1.681,3.488,0.127
airmot/17,airmot,ship,1,325,14.07,341.01,361.84,24.235,25.715,1.117
airmot/18,airmot,ship,1,326,14.46,9.85,14.41,0.681,0.997,0.044
airmot/18,airmot,ship,2,326,6.71,40.01,45.83,5.965,6.832,0.141
airmot/18,airmot,ship,3,326,14.14,6.71,10.66,0.474,0.754,0.033
airmot/18,airmot,ship,4,326,11.22,8.94,12.83,0.797,1.143,0.039
airmot/18,airmot,ship,5,326,10.82,9.06,10.24,0.837,0.947,0.032
airmot/18,airmot,ship,6,326,16.25,10.44,11.83,0.643,0.728,0.036
airmot/18,airmot,ship,7,326,15.1,7.28,7.83,0.482,0.518,0.024
airmot/18,airmot,ship,8,326,12.0,7.21,8.83,0.601,0.736,0.027
airmot/18,airmot,ship,9,326,14.7,7.28,7.83,0.495,0.533,0.024
airmot/18,airmot,ship,10,326,11.62,8.25,8.83,0.71,0.76,0.027
airmot/18,airmot,ship,11,326,9.9,8.25,8.83,0.833,0.892,0.027
airmot/18,airmot,ship,12,326,9.38,8.25,8.83,0.879,0.941,0.027
airmot/18,airmot,ship,13,326,14.46,8.06,9.83,0.558,0.68,0.03
airmot/18,airmot,ship,14,326,16.31,8.06,13.83,0.494,0.848,0.043
airmot/19,airmot,ship,1,326,92.81,6.32,6.83,0.068,0.074,0.021
airmot/19,airmot,ship,2,200,23.32,5.39,7.0,0.231,0.3,0.035
airmot/19,airmot,ship,3,150,23.32,4.74,5.62,0.203,0.241,0.038
airmot/19,airmot,ship,4,100,21.91,5.22,5.83,0.238,0.266,0.059
airmot/19,airmot,ship,5,326,22.2,3.54,14.45,0.159,0.651,0.044
airmot/19,airmot,ship,6,200,25.1,1.58,4.12,0.063,0.164,0.021
airmot/19,airmot,ship,7,200,25.42,1.8,4.5,0.071,0.177,0.023
airmot/19,airmot,ship,8,67,25.3,0.5,6.5,0.02,0.257,0.098
airmot/19,airmot,ship,9,326,9.49,8.14,12.95,0.858,1.365,0.04
airmot/19,airmot,ship,10,84,22.14,2.5,3.12,0.113,0.141,0.038
airmot/19,airmot,ship,11,250,25.1,5.7,12.41,0.227,0.495,0.05
airmot/19,airmot,ship,12,200,19.6,4.0,4.0,0.204,0.204,0.02
airmot/19,airmot,ship,13,200,20.86,4.0,4.0,0.192,0.192,0.02
airmot/19,airmot,ship,14,140,24.39,4.27,5.91,0.175,0.242,0.043
airmot/19,airmot,ship,15,136,24.04,4.61,11.91,0.192,0.496,0.088
airmot/19,airmot,ship,16,128,22.58,2.5,13.02,0.111,0.577,0.103
airmot/20,airmot,ship,1,326,24.33,91.08,109.56,3.743,4.503,0.337
airmot/20,airmot,ship,2,250,19.9,5.41,18.83,0.272,0.946,0.076
airmot/20,airmot,ship,3,326,16.31,89.32,112.49,5.477,6.897,0.346
airmot/21,airmot,ship,1,326,21.02,7.28,7.83,0.346,0.372,0.024
airmot/21,airmot,ship,2,326,22.85,10.2,10.83,0.446,0.474,0.033
airmot/21,airmot,ship,3,326,15.87,9.49,10.24,0.598,0.645,0.032
airmot/21,airmot,ship,4,326,16.52,10.2,10.83,0.617,0.655,0.033
airmot/21,airmot,ship,5,326,12.65,8.25,8.83,0.652,0.698,0.027
airmot/21,airmot,ship,6,326,13.75,7.07,8.24,0.514,0.6,0.025
airmot/21,airmot,ship,7,222,7.75,76.03,83.63,9.815,10.797,0.378
airmot/21,airmot,ship,8,84,42.47,0.0,0.0,0.0,0.0,0.0
airmot/21,airmot,ship,9,7,8.49,0.0,0.0,0.0,0.0,0.0
airmot/22,airmot,ship,1,326,80.62,6.32,6.83,0.078,0.085,0.021
airmot/22,airmot,ship,2,326,81.74,6.32,6.83,0.077,0.084,0.021
airmot/22,airmot,ship,3,326,78.89,7.21,9.41,0.091,0.119,0.029
airmot/22,airmot,ship,4,326,23.24,195.58,232.67,8.416,10.012,0.716
airmot/22,airmot,ship,5,326,130.91,8.06,9.83,0.062,0.075,0.03
airmot/22,airmot,ship,6,326,13.08,8.94,11.24,0.684,0.859,0.035
airmot/22,airmot,ship,7,326,107.04,6.32,6.83,0.059,0.064,0.021
airmot/22,airmot,ship,8,326,26.15,7.28,7.83,0.278,0.299,0.024
airmot/22,airmot,ship,9,326,23.66,8.06,9.83,0.341,0.415,0.03
airmot/22,airmot,ship,10,326,13.08,63.07,68.83,4.823,5.263,0.212
airmot/22,airmot,ship,11,210,37.47,108.9,129.65,2.906,3.46,0.62
airmot/23,airmot,ship,1,326,23.32,12.17,12.83,0.522,0.55,0.039
airmot/23,airmot,ship,2,326,159.75,3.61,4.24,0.023,0.027,0.013
airmot/23,airmot,ship,3,242,44.82,4.12,4.62,0.092,0.103,0.019
airmot/23,airmot,ship,4,326,9.17,11.7,13.24,1.277,1.445,0.041
airmot/23,airmot,ship,5,326,21.54,8.25,8.83,0.383,0.41,0.027
airmot/23,airmot,ship,6,326,47.7,10.0,11.66,0.21,0.244,0.036
airmot/23,airmot,ship,7,326,101.09,6.08,7.83,0.06,0.077,0.024
airmot/23,airmot,ship,8,326,72.83,8.54,9.83,0.117,0.135,0.03
airmot/23,airmot,ship,9,326,12.65,10.2,10.83,0.806,0.856,0.033
airmot/23,airmot,ship,10,326,14.83,10.2,10.83,0.688,0.73,0.033
airmot/23,airmot,ship,11,326,16.7,9.22,9.83,0.552,0.588,0.03
airmot/23,airmot,ship,12,326,29.8,10.44,13.24,0.35,0.444,0.041
airmot/23,airmot,ship,13,326,18.25,10.05,11.24,0.551,0.616,0.035
airmot/23,airmot,ship,14,326,14.7,160.92,178.75,10.949,12.162,0.55
airmot/23,airmot,ship,15,326,15.2,10.44,11.83,0.687,0.778,0.036
airmot/23,airmot,ship,16,326,9.49,9.22,9.83,0.972,1.036,0.03
airmot/23,airmot,ship,17,326,10.95,12.37,15.24,1.129,1.391,0.047
airmot/23,airmot,ship,18,326,27.17,7.0,9.83,0.258,0.362,0.03
airmot/23,airmot,ship,19,326,11.22,9.85,11.47,0.877,1.022,0.035
airmot/23,airmot,ship,20,326,46.58,9.22,9.83,0.198,0.211,0.03
airmot/23,airmot,ship,21,326,44.28,8.25,8.83,0.186,0.199,0.027
airmot/23,airmot,ship,22,326,10.2,6.32,6.83,0.62,0.67,0.021
airmot/24,airmot,ship,1,326,26.94,8.25,8.83,0.306,0.328,0.027
airmot/24,airmot,ship,2,326,26.12,10.44,11.83,0.4,0.453,0.036
airmot/24,airmot,ship,3,326,28.77,8.25,8.83,0.287,0.307,0.027
airmot/24,airmot,ship,4,326,24.27,6.32,6.83,0.261,0.281,0.021
airmot/24,airmot,ship,5,326,74.9,6.32,6.83,0.084,0.091,0.021
airmot/24,airmot,ship,6,326,27.55,100.72,125.28,3.656,4.548,0.385
airmot/24,airmot,ship,7,326,16.25,289.52,308.91,17.819,19.012,0.95
airmot/24,airmot,ship,8,326,27.96,191.21,207.09,6.838,7.406,0.637
airmot/24,airmot,ship,9,300,8.94,83.27,105.59,9.309,11.805,0.353
airmot/24,airmot,ship,10,94,18.38,66.94,71.09,3.641,3.867,0.764
airmot/25,airmot,ship,1,326,74.41,6.32,6.83,0.085,0.092,0.021
airmot/25,airmot,ship,2,326,42.43,6.32,6.83,0.149,0.161,0.021
airmot/25,airmot,ship,3,326,53.9,6.04,14.24,0.112,0.264,0.044
airmot/25,airmot,ship,4,118,37.47,58.9,62.96,1.572,1.68,0.538
airmot/25,airmot,ship,5,326,16.49,7.28,9.0,0.441,0.546,0.028
airmot/25,airmot,ship,6,326,16.31,6.32,8.0,0.388,0.491,0.025
airmot/26,airmot,ship,1,326,19.97,75.39,92.73,3.774,4.642,0.285
airmot/26,airmot,ship,2,326,30.41,77.48,93.43,2.547,3.072,0.287
airmot/26,airmot,ship,3,177,12.85,39.22,48.66,3.053,3.788,0.276
airmot/26,airmot,ship,4,92,13.67,104.65,110.47,7.653,8.078,1.214
airmot/27,airmot,ship,1,250,12.69,23.31,32.65,1.837,2.573,0.131
airmot/28,airmot,ship,1,326,18.71,10.0,12.0,0.535,0.641,0.037
airmot/28,airmot,ship,2,326,32.31,11.0,13.83,0.34,0.428,0.043
airmot/28,airmot,ship,3,326,31.43,12.37,14.41,0.394,0.459,0.044
airmot/28,airmot,ship,4,326,44.6,10.2,10.83,0.229,0.243,0.033
airmot/28,airmot,ship,5,326,43.01,9.49,10.83,0.221,0.252,0.033
airmot/28,airmot,ship,6,326,43.01,10.44,11.24,0.243,0.261,0.035
airmot/28,airmot,ship,7,326,43.59,8.06,9.83,0.185,0.225,0.03
airmot/28,airmot,ship,8,326,41.83,10.77,12.24,0.257,0.293,0.038
airmot/28,airmot,ship,9,326,11.49,13.04,14.24,1.135,1.24,0.044
airmot/28,airmot,ship,10,326,17.44,13.04,15.66,0.748,0.898,0.048
airmot/28,airmot,ship,11,326,10.95,13.15,13.83,1.201,1.262,0.043
airmot/28,airmot,ship,12,326,10.82,11.05,12.83,1.021,1.186,0.039
airmot/28,airmot,ship,13,326,67.26,9.22,9.83,0.137,0.146,0.03
